"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"213",0,2.56950099283161,0.496,0.022,0,"10","Tmem163"
"214",0,2.52276582469845,0.867,0.118,0,"10","H2-Eb1"
"215",2.34789874033079e-282,3.12170790859664,0.851,0.132,5.19190848449347e-278,"10","Arhgap15"
"216",1.5311943389549e-279,3.45459600879815,0.754,0.107,3.38593004173096e-275,"10","Bach2"
"217",1.11288209106865e-246,8.40188276461893,0.927,0.225,2.4609161679801e-242,"10","Igkc"
"218",1.42790434908231e-245,6.35586460001906,0.343,0.022,3.15752488712572e-241,"10","Iglc1"
"219",1.96248508916786e-207,2.68479389940191,0.665,0.106,4.33964327767688e-203,"10","Ripor2"
"220",7.39170357443168e-200,3.34272698386995,0.988,0.333,1.63452741141408e-195,"10","Cd74"
"221",0,5.80209575033913,0.968,0.075,0,"11","Acta2"
"222",0,4.77352772135535,0.947,0.009,0,"11","Rgs5"
"223",0,4.48938758826618,0.468,0.025,0,"11","Mgp"
"224",0,4.42069858478727,1,0.1,0,"11","Igfbp7"
"225",0,4.37919063835607,0.979,0.045,0,"11","Tpm2"
"226",0,4.32788309813833,1,0.073,0,"11","Ebf1"
"227",0,4.24112275723159,0.747,0.03,0,"11","Tagln"
"228",0,4.12461913355499,0.984,0.057,0,"11","Meg3"
"229",0,3.78889783000962,0.979,0.06,0,"11","Ndufa4l2"
"230",0,3.74388129600818,0.995,0.061,0,"11","Col6a3"
"231",0,3.70527133344208,0.968,0.051,0,"11","Cd248"
"232",0,3.53603290370478,0.947,0.012,0,"11","Ppp1r14a"
"233",0,3.48391954238124,1,0.132,0,"11","Bgn"
"234",0,3.46693067976161,0.826,0.003,0,"11","Higd1b"
"235",0,3.44181722034344,0.979,0.047,0,"11","Col18a1"
"236",1.23159247780069e-298,4.21718098224287,0.905,0.115,2.72342044616066e-294,"11","Fabp4"
"237",3.02764946200549e-259,3.5131114248077,0.974,0.174,6.69504125533275e-255,"11","Itga1"
"238",3.2121702578517e-252,4.06916335823755,1,0.193,7.10307209118746e-248,"11","Col4a2"
"239",8.25186323614445e-240,4.58720485566262,1,0.207,1.82473451740862e-235,"11","Col4a1"
"240",9.31417699298863e-230,3.70527756654889,0.916,0.165,2.05964395845958e-225,"11","Myl9"
