"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rps26",0.00763684887034549,-0.417757000632436,1,1,1
"Azi2",0.00768392088237222,0.310067939677301,0.267,0.057,1
"Ppp2r5c",0.00769413224573246,0.398338787132402,0.433,0.17,1
"Jak1",0.00777873774586439,0.449662831332813,0.867,0.736,1
"Rpl38",0.00779634378906839,-0.306922872012316,1,1,1
"Rap1gap2",0.00797293462833465,0.310067939677301,0.233,0.038,1
"Ptpn1",0.00803392606675711,0.529263734577571,0.5,0.208,1
"Bptf",0.00825241597494973,0.326265167205103,0.433,0.17,1
"Luc7l2",0.00831711808040013,0.315794550704258,0.767,0.491,1
"Crim1",0.00878215066812257,0.382145617721469,0.4,0.151,1
"Wasf2",0.00882274582734751,0.440425856739711,0.533,0.283,1
"Eloc",0.00903553718523253,-0.333298287436613,0.033,0.264,1
"Gzmc",0.00906710485098378,-1.55381855020846,0.067,0.34,1
"Rpl34",0.009105135232186,-0.408975746491642,0.933,0.981,1
"Cd274",0.00915070635447973,-0.312236671908783,0.033,0.264,1
"Dock10",0.00947125770100662,0.483448499755833,0.9,0.642,1
"Gm2000",0.0102075159612012,-0.344029387315816,0.1,0.358,1
"Nin",0.011075123493056,0.326265167205103,0.4,0.151,1
"Pgls",0.0113207501318483,-0.477311415615066,0.233,0.491,1
"Sod2",0.0119947121428284,0.306456686124922,0.367,0.132,1
"Trdv4",0.0120787020172791,-0.294447358465255,0,0.189,1
"Saa3",0.0121182984391894,-0.338168735894573,0,0.189,1
"Edf1",0.0121595716405113,-0.426897654488905,0.233,0.528,1
"Znrf3",0.0124590392318878,0.42871243617592,0.367,0.132,1
"Ripor2",0.0129600102975821,0.518467088934249,0.733,0.509,1
"mt-Cytb",0.0131794055358786,-0.306414158326505,0.933,1,1
"Dct",0.0132722742256398,-0.452471545930182,0.833,0.981,1
"Rheb",0.0135195945968939,0.271691267964246,0.367,0.132,1
"Zap70",0.013720546221189,-0.312236671908783,0.033,0.245,1
"Plekho2",0.013910760654694,-0.290863021116216,0.033,0.245,1
"Ilk",0.0139333713482383,0.3307042323716,0.333,0.113,1
"Rpl39",0.0142283006375325,-0.38121286276036,1,0.943,1
"Nfatc1",0.0143377642548712,0.369650512612116,0.467,0.208,1
"Zeb2",0.0143507908833025,0.598637437618233,0.6,0.34,1
"Atp5mpl",0.0146274080802774,-0.416009338346169,0.333,0.585,1
"Wapl",0.0146604446248442,0.290515142255901,0.433,0.17,1
"Crybg1",0.0148809693735549,0.413371890041434,0.4,0.17,1
"Tmed5",0.0149858638281111,0.353250897603864,0.433,0.189,1
"Ikzf3",0.0149976729131253,0.379025312075567,0.533,0.264,1
"Ube3a",0.0154917412325238,0.260314904480202,0.333,0.113,1
"Fam32a",0.0154917412325238,0.260314904480202,0.333,0.113,1
"Rack1",0.0155013731145451,-0.379667491282448,0.967,0.962,1
"Tpp2",0.0155021531913034,-0.324400580566883,0.1,0.34,1
"Il1rap",0.0156302664206112,0.287597658873607,0.2,0.038,1
"Elf1",0.0156479712883697,0.418270689454274,0.567,0.321,1
"Arl4c",0.0157020107210849,0.284976958714471,0.3,0.094,1
"Selenof",0.0157020107210849,0.284976958714471,0.3,0.094,1
"Kat7",0.0157020107210849,0.320600868445192,0.3,0.094,1
"Rsbn1",0.0157121358489463,0.310067939677301,0.267,0.075,1
"Nt5dc3",0.0157136046422049,0.345691849408023,0.267,0.075,1
"Ipcef1",0.0160311631765092,0.331224591273865,0.433,0.189,1
"Cdk12",0.0163227164501697,0.326265167205103,0.4,0.17,1
"Rpl21",0.0166797441376292,-0.319630547982437,1,0.981,1
"Gbp7",0.0171988644654896,0.295938814210923,0.3,0.094,1
"Rabl6",0.0174587819238245,0.261602450340662,0.233,0.057,1
"Rab22a",0.0174587819238245,0.261602450340662,0.233,0.057,1
"Rap2b",0.0174587819238245,0.261602450340662,0.233,0.057,1
"Ddx58",0.0174587819238245,0.261602450340662,0.233,0.057,1
"Rpl32",0.0176035193676325,-0.327521491695065,1,1,1
"Rps15a",0.0176843700164844,-0.373189354485826,1,1,1
"Txnip",0.0182775891218659,0.371722457591091,0.5,0.264,1
"Arhgap9",0.018418062837007,-0.328717260550001,0.067,0.283,1
"BC031181",0.0185316895544689,0.390395504624818,0.367,0.151,1
"Gapdh",0.018792960096591,-0.412379377769835,1,1,1
"Hsd11b1",0.0188104713470723,0.293098303269903,0.4,0.17,1
"Zfp644",0.0188104713470723,0.293098303269903,0.4,0.17,1
"Arfgef1",0.0190924595013119,0.280461477591978,0.433,0.189,1
"Itga1",0.0193140478848708,-0.453592521154325,0.033,0.226,1
"Cmss1",0.0200975018287397,0.432868065667231,1,0.811,1
"Vav1",0.0201258497215678,0.382145617721469,0.367,0.151,1
"Aurkaip1",0.0204696651389827,0.290515142255901,0.433,0.189,1
"Etnk1",0.0204696651389827,0.290515142255901,0.433,0.189,1
"Hba-a1",0.0205711182474255,0.616671360448494,0.1,0,1
"Rpl36al",0.0205947115601903,-0.423388868711766,0.567,0.849,1
"Hint1",0.0215449390350474,-0.354412147455198,0.6,0.83,1
"Arhgap45",0.0232139961231639,0.342376260379865,0.667,0.434,1
"Pld3",0.0232211067036529,-0.304501023129178,0.1,0.321,1
"1700025G04Rik",0.0232836734285364,0.461133913868298,0.533,0.302,1
"Arhgap30",0.0236468645522641,0.322224001983239,0.433,0.208,1
"Nedd9",0.0237855850375792,0.328633476969597,0.567,0.321,1
"Fam107b",0.0239911637795025,0.376245016281785,0.733,0.509,1
"Tecpr1",0.0240032847562147,0.312016211466823,0.533,0.264,1
"B2m",0.0240754211334343,-0.415168361906798,0.9,0.962,1
"Rpl13",0.0241258845313037,-0.317545370953901,1,1,1
"Gnai3",0.0243544556395206,0.306456686124922,0.333,0.132,1
"Otulin",0.0244729319728704,0.37357088198346,0.567,0.321,1
"St13",0.0249454466446901,-0.339434813238566,0.133,0.358,1
"Jun",0.025462662750993,0.591024253508358,0.9,0.849,1
"Atp5md",0.0261835617005232,-0.291444870303732,0.2,0.453,1
"Itgav",0.0262278128143858,-0.550938918432277,0.133,0.34,1
"Cemip2",0.0269135695683231,0.421422400245443,0.367,0.17,1
"Numa1",0.0274628262044492,-0.308253157990286,0.067,0.264,1
"Msn",0.0287538202773901,-0.430508908041284,0.333,0.547,1
"Ctla4",0.0287854314824505,-0.453592521154325,0.033,0.208,1
