ID,p,log2FC,pct.1,pct.2,Pvalue
Vps37b,0.011994096,0.303766646,0.367,0.259,1
Hist1h1e,0.012256773,0.271346433,0.241,0.144,1
Mapk6,0.012565624,0.275205715,0.493,0.388,1
Tmx4,0.012782592,0.55607016,0.252,0.158,1
Slc8a1,0.012870471,0.3209934,0.605,0.482,1
Ifi30,0.013038335,0.275454205,0.918,0.863,1
Nptn,0.013776457,0.278998855,0.51,0.417,1
Ptms,0.015072194,-0.282365133,0.629,0.705,1
Gpr183,0.016105978,0.27613952,0.17,0.086,1
Tacc1,0.016698552,0.251413219,0.449,0.36,1
Camk2d,0.017058529,0.272649636,0.568,0.439,1
Smim3,0.017828448,0.273986758,0.32,0.23,1
Bag3,0.017863968,0.299588618,0.303,0.194,1
Abtb2,0.019929349,0.368399426,0.446,0.338,1
Zfp36,0.020373616,0.265665818,0.69,0.619,1
Foxp1,0.021338103,0.318709372,0.595,0.504,1
Elmo1,0.023859992,0.286363139,0.609,0.511,1
Arl5b,0.025469577,0.275660232,0.33,0.245,1
Ahnak,0.026581905,0.275412538,0.697,0.64,1
Glipr1,0.028403125,0.270944166,0.384,0.295,1
Cd86,0.028828959,0.311345079,0.83,0.741,1
Cd9,0.033374276,0.28741984,0.279,0.194,1
Rnf19b,0.035377303,0.271708127,0.582,0.475,1
Trib1,0.036733298,0.289076973,0.558,0.482,1
Cd83,0.037413917,0.272176127,0.531,0.41,1
Chst11,0.037580905,0.27569967,0.163,0.094,1
Map4k4,0.039485895,-0.433963487,0.476,0.525,1
Zfand5,0.040976065,0.267806755,0.83,0.734,1
Bcl2a1b,0.049206703,-0.26154459,0.561,0.633,1
Rbm47,0.050553662,0.250534687,0.67,0.576,1
Myo1e,0.053514654,-0.367140186,0.391,0.446,1
Slc49a4,0.055667032,0.283371958,0.418,0.338,1
Rgs1,0.057626809,0.251112292,0.653,0.554,1
Fbxl5,0.060610631,0.362985303,0.364,0.302,1
Thbs1,0.072367018,0.423674875,0.235,0.173,1
Ptpro,0.072777625,0.325553753,0.34,0.273,1
C1qb,0.073427519,-0.405498583,0.599,0.626,1
Nr4a3,0.079044427,0.313047108,0.299,0.23,1
C1qc,0.105746902,-0.39847157,0.463,0.504,1
Cebpb,0.106617528,0.277849245,0.704,0.748,1
Slc7a11,0.110903032,-0.289448757,0.207,0.259,1
Rnf149,0.122952941,-0.255126978,0.463,0.504,1
Gbp2,0.130458301,0.430230647,0.252,0.194,1
Chka,0.132051981,0.254779795,0.551,0.482,1
Ifih1,0.156172713,0.365784459,0.33,0.266,1
C1qa,0.193194009,-0.395623208,0.476,0.532,1
Fmnl2,0.32456016,0.2758694,0.531,0.489,1
Ccl8,0.448480378,0.484602422,0.102,0.079,1
Pf4,0.840430602,0.428444158,0.286,0.302,1
Pde7b,0.882886291,0.267406702,0.367,0.388,1
