ID,p,log2FC,pct.1,pct.2,Pvalue
Hnrnpa2b1,0.000266141,0.318568824,0.714,0.583,1
Zyx,0.000267094,0.378066613,0.5,0.345,1
Ago2,0.000280464,0.296635809,0.466,0.288,1
Cybb,0.000281854,-0.367098182,0.694,0.835,1
Rap1b,0.00029588,0.277421536,0.952,0.849,1
Dip2b,0.000301393,0.406818727,0.449,0.295,1
Mndal,0.000302118,0.395506384,0.548,0.388,1
Ppp2ca,0.000317963,0.379180684,0.687,0.547,1
Rac2,0.000321217,-0.319670002,0.435,0.59,1
Lamp1,0.000323755,-0.31551924,0.786,0.892,1
Rbm39,0.000327145,0.308112287,0.881,0.784,1
Atf6,0.000327241,0.363750005,0.486,0.338,1
Ankrd44,0.00033304,0.354934189,0.49,0.317,1
Plxdc2,0.000343656,0.425159658,0.272,0.122,1
Nsf,0.000347123,0.275754045,0.48,0.302,1
Lrch1,0.0003597,0.293770476,0.469,0.302,1
Ccnd3,0.000366964,0.347673451,0.435,0.266,1
Rin3,0.000370599,0.313260782,0.303,0.151,1
Klf6,0.000370944,0.342831444,0.963,0.82,1
Plcl1,0.000391492,0.42992567,0.289,0.144,1
Smchd1,0.000421681,0.417070428,0.48,0.338,1
AW112010,0.000431898,-0.444125984,0.344,0.504,1
Tank,0.00043677,-0.368330824,0.667,0.799,1
Peak1,0.00043865,0.289637178,0.473,0.295,1
Mbnl2,0.000441217,0.309502836,0.891,0.755,1
Hpcal1,0.000444487,0.291927625,0.425,0.259,1
C5ar1,0.000455284,-0.274974904,0.303,0.475,1
Ildr1,0.000461082,0.252692462,0.211,0.079,1
Rassf3,0.000461229,0.415078851,0.364,0.209,1
Arid4b,0.000501836,0.338097806,0.449,0.295,1
Wac,0.000505205,0.270219724,0.449,0.273,1
4930523C07Rik,0.000508442,0.263506984,0.221,0.086,1
Taok3,0.000544829,0.257907763,0.52,0.345,1
Mafb,0.000556695,0.456472154,0.728,0.604,1
Emp3,0.000568042,-0.2881981,0.844,0.899,1
App,0.000585623,0.390574447,0.844,0.763,1
AY036118,0.00058989,-0.40667243,0.663,0.763,1
Clec4b1,0.000597096,0.294196014,0.241,0.108,1
Zfp36l2,0.000597475,0.366932328,0.565,0.417,1
Dlg1,0.000611021,0.257041101,0.313,0.165,1
Ascc3,0.000618382,0.282591191,0.51,0.338,1
Ly86,0.000624085,0.453685787,0.503,0.374,1
B4galt1,0.000627948,0.265637682,0.422,0.252,1
Ier5,0.000648556,0.362212224,0.714,0.568,1
Mat2a,0.00068181,0.405183859,0.517,0.367,1
Hnrnpu,0.000688594,0.324907529,0.609,0.482,1
Ext1,0.000697573,0.479011239,0.721,0.583,1
Rassf4,0.000707203,-0.290723594,0.354,0.496,1
Btg2,0.000723472,0.394208441,0.69,0.561,1
Exoc4,0.000749565,0.320434053,0.503,0.353,1
Emp1,0.000758091,0.396590505,0.412,0.252,1
Ccl4,0.000759918,-0.440293543,0.701,0.849,1
Lrp12,0.000777125,0.337704804,0.259,0.122,1
Ier3,0.000804762,-0.429944135,0.724,0.806,1
Rgcc,0.000820498,0.371939462,0.303,0.158,1
Aim2,0.000826888,0.295832079,0.333,0.187,1
Itpr1,0.000875556,0.273986758,0.344,0.194,1
Ifi204,0.000892723,0.369626763,0.554,0.417,1
Dusp1,0.000917163,0.401860254,0.952,0.892,1
Plekho1,0.000929668,0.286924096,0.639,0.504,1
Lamtor2,0.000967105,-0.263180583,0.486,0.626,1
Tnip3,0.000982996,0.366296341,0.435,0.281,1
Hspa1a,0.001013658,0.490131032,0.639,0.532,1
Btg1,0.001015185,0.265801147,0.939,0.871,1
Rpl23a,0.001025963,0.263931513,0.969,0.957,1
Mapre2,0.001038838,0.41166511,0.558,0.417,1
Ppp3ca,0.001040187,0.373923206,0.537,0.403,1
Psen2,0.001063379,-0.276228466,0.262,0.396,1
Sh3kbp1,0.001106291,0.332207761,0.643,0.496,1
Macf1,0.001142208,0.368026845,0.551,0.424,1
Tra2a,0.00114441,0.295952419,0.616,0.46,1
Fam49b,0.001215743,0.30360943,0.833,0.763,1
Cass4,0.00123476,0.256303715,0.207,0.086,1
Plaur,0.00126157,0.28384116,0.446,0.309,1
Ly6a,0.001394732,0.367067522,0.51,0.331,1
Cdc42se2,0.001446148,0.256793678,0.415,0.266,1
Slc7a2,0.001485357,0.468038577,0.146,0.043,1
Fam49a,0.001489959,-0.271337205,0.17,0.295,1
Gpnmb,0.001495323,-0.33844628,0.571,0.669,1
Nlrp3,0.001499377,-0.351611761,0.374,0.511,1
Gadd45b,0.001508824,-0.315196526,0.609,0.698,1
