"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cyfip2",1.36387938061949e-35,0.636512342452165,0.974,0.747,3.01594647436388e-31,"6","Cyfip2"
"B3gnt22",5.29950208630328e-35,0.530798877205278,0.954,0.688,1.17187889634424e-30,"6","B3gnt2"
"Hist1h1e1",7.85387358083334e-35,0.278701824617399,0.983,0.653,1.73672706492968e-30,"6","Hist1h1e"
"Cbx41",2.21746865410975e-34,0.500950645244788,0.866,0.607,4.90348843483289e-30,"6","Cbx4"
"Esyt23",2.53111749971684e-34,0.725590430914194,0.989,0.803,5.59706012712385e-30,"6","Esyt2"
"Nr4a12",4.90594946079432e-34,0.489645959569381,0.856,0.581,1.08485260426545e-29,"6","Nr4a1"
"Klf22",1.0970290815719e-33,0.445205332505535,0.98,0.657,2.42586040807994e-29,"6","Klf2"
"Rngtt1",1.30127012119156e-33,0.510118140332546,0.956,0.685,2.87749861899089e-29,"6","Rngtt"
"Elmsan11",1.62757420269929e-33,0.560294867082991,0.893,0.643,3.59905483442894e-29,"6","Elmsan1"
"Cnn22",3.34414611015155e-33,0.502517282334927,0.992,0.749,7.39491029337813e-29,"6","Cnn2"
"Lamc12",3.53951815778178e-33,0.531436263967283,0.93,0.647,7.82693650230285e-29,"6","Lamc1"
"Fbxo112",8.31606601833762e-33,0.555813075423328,0.992,0.764,1.838931678635e-28,"6","Fbxo11"
"Nsd12",1.08185968837294e-32,0.476465631934929,0.937,0.67,2.39231632889909e-28,"6","Nsd1"
"Fermt31",1.11402763408297e-32,0.764251618345044,0.292,0.148,2.46344930724768e-28,"6","Fermt3"
"Sema4d2",1.54677316226505e-32,0.599857660421092,0.373,0.207,3.42037949371671e-28,"6","Sema4d"
"Klf63",2.67157759918741e-32,0.348822438652467,0.998,0.962,5.90765954508313e-28,"6","Klf6"
"Tapbp3",3.36778532427354e-32,0.33779333587266,0.896,0.599,7.44718368756607e-28,"6","Tapbp"
