"","C_p_val","C_avg_log2FC","C_pct.1","C_pct.2","C_p_val_adj","T_p_val","T_avg_log2FC","T_pct.1","T_pct.2","T_p_val_adj","max_pval","minimump_p_val"
"Pf4",0,4.49050218105514,0.636,0.184,0,0,3.80455750782752,0.567,0.067,0,0,0
"Cxcl2",0,1.29180852004025,0.992,0.461,0,0,1.09476188790845,0.988,0.448,0,0,0
"Rasgef1b",0,3.05098547556091,0.758,0.089,0,0,3.01464761853503,0.719,0.055,0,0,0
"Plac8",0,2.04731850677864,0.453,0.105,0,4.90263981124451e-221,1.48175177987175,0.297,0.061,1.0841207414605e-216,4.90263981124451e-221,0
"Arhgap24",0,1.56785356839964,0.491,0.09,0,0,1.2731719316194,0.433,0.082,0,0,0
"Aff1",0,1.81420111342554,0.982,0.562,0,2.64417346582286e-250,1.23047980046899,0.851,0.53,5.8470607849741e-246,2.64417346582286e-250,0
"Sparcl1",0,-0.82573451907696,0.994,0.981,0,1.19403134814147e-237,-0.667390042653215,0.997,0.987,2.64036152014522e-233,1.19403134814147e-237,0
"Spp1",0,2.78427977234071,0.942,0.44,0,2.7715777456977e-05,1.16438433638167,0.234,0.217,0.612878986906131,2.7715777456977e-05,0
"Rpl5",0,-0.806434735730837,1,1,0,0,-0.603346503408228,1,1,0,0,0
"Oasl1",0,1.77080075078679,0.396,0.083,0,5.30918764909417e-207,1.4457339125027,0.303,0.073,1.17402066484419e-202,5.30918764909417e-207,0
"Rplp0",0,-0.714327545642445,1,1,0,0,-0.593394071458246,1,1,0,0,0
"Pebp1",0,-0.897431381322249,1,1,0,0,-0.773234967029759,1,1,0,0,0
"Rpl6",0,-0.655817050766868,1,1,0,0,-0.550406827730366,1,1,0,0,0
"Ran",0,-1.00086981165006,1,1,0,0,-0.876462539748697,1,1,0,0,0
"Chchd2",0,-0.740500133484949,1,1,0,0,-0.606033666269218,1,1,0,0,0
"Gtf2i",0,-0.538448191196823,0.994,0.982,0,2.41879287794325e-195,-0.489298476193313,0.995,0.98,5.34867669099592e-191,2.41879287794325e-195,0
"Lat2",0,1.1182728545997,0.35,0.056,0,0,1.09610386490632,0.343,0.05,0,0,0
"Fkbp6",0,-0.766946629552354,0.992,0.981,0,4.45444012018176e-279,-0.634844543523899,0.996,0.988,9.85010343775793e-275,4.45444012018176e-279,0
"Mdh2",0,-0.737389437089783,1,1,0,3.75123977763793e-299,-0.622090460040338,1,1,8.29511652029076e-295,3.75123977763793e-299,0
"Rasa4",0,0.984947513524918,0.306,0.047,0,0,0.990440720781797,0.326,0.033,0,0,0
"Tecpr1",0,-0.829394312887765,0.999,0.993,0,2.54892160661574e-299,-0.658752082439299,0.999,0.996,5.63643034870939e-295,2.54892160661574e-299,0
"Pdap1",0,-0.697434184992221,1,1,0,8.24462141632724e-283,-0.609404511960623,1,1,1.82313313379244e-278,8.24462141632724e-283,0
"Rpl21",0,-0.538016901286846,1,1,0,9.42309626884833e-217,-0.365951562903565,1,1,2.08372927793043e-212,9.42309626884833e-217,0
"Hmgb1",0,-0.915019220284803,1,1,0,1.7914154476463e-261,-0.836121125031196,1,1,3.96135697938026e-257,1.7914154476463e-261,0
"Alox5ap",0,1.692360046054,0.584,0.084,0,0,1.54439185842465,0.597,0.077,0,0,0
"Gng11",0,-0.83948990047399,0.996,0.988,0,1.53626897843232e-216,-0.682369698280234,0.997,0.985,3.39715159200739e-212,1.53626897843232e-216,0
"Ndufa4",0,-1.39321722457423,1,1,0,0,-1.12648211949733,1,1,0,0,0
"Mdfic",0,1.38189073456884,0.785,0.487,0,2.66216776522763e-162,1.26494775649837,0.653,0.487,5.88685157924786e-158,2.66216776522763e-162,0
"Met",0,-1.00768870776172,1,0.997,0,0,-0.736803233686921,1,0.999,0,0,0
