SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA-12-1597-01B,0.03557572,0,0.000853768,0.001104768,0,0.049293648,0,0.038005315,0,0,0,0.044875183,0.268433135,0,0.0167538,0.515597003,0,0,0,0.011918334,0.017589327,0,SNV
TCGA-27-2526-01A,0.006403385,0,0.004780477,0.139875423,0,0.151699361,0,0.065094398,0.008795069,0,0,0.03585199,0.040937178,0,0.138335892,0.305290309,0.014513675,0,0.081517042,0,0.003075843,0.003829956,SNV
TCGA-28-5209-01A,0,0.006075696,0,0,0,0.069827609,0,0.015053317,0.0194798,0,0.053731815,0,0.015054826,0.442550007,0.039018389,0.332489384,0,0,0,0,0,0.00671916,SNV
TCGA-32-1982-01A,0.012297499,0,0,0.040258018,0,0.152502335,0,0.041248556,0,0.018252133,0,0.073671248,0.153265642,0,0.028223024,0.323455468,0,0.001384413,0,0.11492864,0.021159472,0.019353553,SNV
TCGA-28-1753-01A,0,0.014016106,0,0.01859327,0,0.006841219,0.010304708,0.018083413,0.014396175,0,0,0.000558643,0,0.479430343,0.008264936,0.420794168,0.001201595,0,0,0.005393945,0,0.002121478,SNV
TCGA-19-2625-01A,0,0.029223764,0.004159018,0.022437885,0,0.078032212,0,0.04162477,0.028509211,0,0.104182507,0.000848738,0.230930564,0.0748395,0.008810014,0.145374945,0,0,0.052951953,0,0.140870503,0.037204414,SNV
TCGA-32-2632-01A,0.005671447,0.008834734,0,0.066452736,0,0.125163843,0,0.004185351,0.033732315,0,0,0.035310551,0.165660878,0,0.031622484,0.430860978,0,0,0.070853545,0,0.002715195,0.018935943,SNV
TCGA-06-5411-01A,0.001870766,0.012942525,0,0.054050009,0,0.055392425,0.013517833,0.004365415,0.005808354,0,0.086752083,0,0.381947171,0,0.028187918,0.303749205,0.005168586,0,0.011120103,0,0,0.035127607,SNV
TCGA-06-0156-01A,0,0.00153981,0.002742722,0.039827898,0,0.1243582,0.007638702,0,0.004558719,0,0.121177885,0,0.109708763,0.014194708,0.02512867,0.373588013,0,0,0,0.127165022,0,0.048370888,SNV
TCGA-06-0649-01B,0.043901423,0,0.027709542,0.055296606,0,0.052826992,0,0.030080534,0,0,0,0.028093778,0.282593723,0,0.009466517,0.434062399,0,0,0,0.029360254,0,0.006608232,SNV
