SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA.06.2567.01A.01R.1849.01,0,0.001717872,0,0.000261998,0,0.138699134,0,0.024842073,0,0,0,0.072983829,0.310225963,0.024504123,0.030498911,0.265601693,0,0,0,0.012605486,0.015268836,0.102790081,no alteration
TCGA.12.0821.01A.01R.1849.01,0,0.022213347,0,0,0,0.120352789,0,0.011954105,0,0.012001298,0.029765321,0,0,0.342548816,0.066311281,0.296880332,0,0,0.042701263,0,0.032905268,0.022366181,HOMDEL 
TCGA.06.5411.01A.01R.1849.01,0,0.006090608,0,0.093687784,0,0.039598743,0.004313697,0,0.008694429,0,0.049789537,0,0.483626383,0,0.023185439,0.223782617,0.001758189,0,0.04018062,0,0,0.025291955,MUT
TCGA.06.0878.01A.01R.1849.01,0.003688707,0.001463,0.001909989,0,0,0.112561274,0,0.015272891,0.01030976,0.050892657,0.060944488,0,0,0.495898017,0.013473835,0.144192395,0,0,0,0.070525653,0.002346489,0.016520843,no alteration
TCGA.28.5209.01A.01R.1850.01,0,0.001105924,0.0044354,0,0,0.163689134,0,0.012323917,0.008710839,0.012562224,0.005703744,0.018188427,0,0.404436345,0.027037619,0.30779926,0,0.003088547,0.023250612,0,0,0.007668006,MUT
TCGA.26.5134.01A.01R.1850.01,0,0.002780031,0,0.015300352,0,0.047185195,0,0,0,0,0.014810516,0,0,0.429678587,0.085343162,0.388130808,0,0,0.01677135,0,0,0,no alteration
TCGA.32.2616.01A.01R.1850.01,1.53847E-05,0.002127375,7.97312E-05,0,0,0.136044769,0,0.011053784,0.021839136,0,0.02421091,0.022995857,0,0.414631863,0.008031072,0.303585687,0,0,0.046248701,0,0,0.00913573,MUT
TCGA.06.0745.01A.01R.1849.01,0.00165927,0.000586847,0,0.018320633,0,0.094789445,0,0.016210846,0.012962658,0,0.020155542,0.011437888,0.053992933,0.216826507,0.007350616,0.461718864,0,0,0,0.039493615,0.022094015,0.022400321,no alteration
TCGA.27.2521.01A.01R.1850.01,0.033233355,0,0.000738093,0,0,0.104122542,0.00540232,0,0.009122825,0,0.041451334,0,0.114935846,0.05147413,0.013025456,0.522188619,0,0,0.089810021,0,0,0.01449546,no alteration
TCGA.32.5222.01A.01R.1850.01,0.004184804,0,0,0,0,0.111464168,0,0.007079315,0,0.012272083,0,0.027532667,0.267229026,0,0.034392952,0.470020418,0,0.002256187,0,0,0.034319875,0.029248504,MUT
TCGA.14.1829.01A.01R.1850.01,0.015991998,0,0.000837277,0.028254091,0,0.08770263,0,0.006180931,0,0.002564256,0.008978363,0,0.34264675,0,0.022040648,0.414562908,0,0,0,0.006115797,0.060351249,0.003773101,no alteration
TCGA.41.3915.01A.01R.1850.01,0.010542139,0,0.000267419,0.040066912,0,0.062831445,0.018088267,0,0,0.014529661,0,0,0.12347269,0.140508605,0.014197511,0.472247949,0,0,0,0.022844849,0,0.080402554,MUT
TCGA.19.2629.01A.01R.1850.01,0.001080313,0,0,0.021035541,0,0.122170871,0,0.000288022,0.006763794,0,0,0.034600043,0.2291177,0,0.036597989,0.416010232,0,0,0.112379626,0,0.013735255,0.006220615,no alteration
TCGA.06.0174.01A.01R.1849.01,0.011762392,0,0,0,0,0.051927322,0,0.004296697,0.011351389,0.007144605,0,0.018462938,0.033876945,0.447446107,0.017365698,0.348373921,0,0,0.012249648,0,0,0.035742338,no alteration
TCGA.28.2510.01A.01R.1850.01,0.002626988,0,0,0,0,0.198314916,0,0.015553498,0.029612138,0,0.044838774,0.020273902,0.123189948,0.222102644,0.005076221,0.269292842,0,0,0.018998345,0,0,0.050119782,MUT
TCGA.32.2634.01A.01R.1850.01,0,0.007715507,0.005396013,0,0,0.115015915,0,0.008066296,0.011969793,0.010828315,0.005934756,0,0,0.497418101,0.007998294,0.315484602,0,0,0,0.007392484,0,0.006779923,MUT
TCGA.06.0139.01A.01R.1849.01,0.012395719,0,0.003065203,0.038625452,0,0,0,0.053638354,0,0.011655499,0,0.03220543,0.124680664,0.052433582,0.037589142,0.563303148,0.007343794,0,0.012112036,0,0,0.050951977,no alteration
TCGA.06.0644.01A.02R.1849.01,0,0.003932885,0,0.016372662,0,0.17224665,0.015501084,0,0.013305469,0,0.00634812,0.000654682,0.118994809,0.231945786,0.020981769,0.3432012,0.014619433,0,0.036692906,0,0,0.005202545,MUT
TCGA.76.4931.01A.01R.1850.01,0,0.007377446,0.000486645,0.020354759,0,0.070660164,0,0,0,0,0.0387945,0,0.030071296,0.483196957,0.041948741,0.29207334,0,0,0.004794886,0,0,0.010241266,MUT
TCGA.32.1980.01A.01R.1850.01,0.013909323,0,0.000954162,0.014888058,0,0.061342408,0,0.000878708,0,0,0,0.040794758,0.117910355,0.334296579,0.026915269,0.338452881,0,0,0,0.046020206,0.001766368,0.001870924,no alteration
TCGA.02.2483.01A.01R.1849.01,0.004027352,0,0.000904182,0.015829451,0,0.054785556,0,0.011351727,0,0.010101778,0,0.022217571,0.180449924,0.102431934,0.037191797,0.434850635,0,0,0,0.064338224,0.04141537,0.020104499,no alteration
TCGA.28.5215.01A.01R.1850.01,0.040722721,0,0.013002859,0.022633765,0,0.036625866,0,0.039730397,0,0.003613045,0,0.025623618,0.180023489,0.141375433,0.050345574,0.312871634,0,0,0,0.107374784,0.024651542,0.001405273,HOMDEL 
TCGA.41.2571.01A.01R.1850.01,0.012211242,0,0.002189949,0.034378911,0,0,0,0.03040123,0,0,0,0.022770103,0.066298732,0.293098162,0.021529959,0.253197147,0,0,0,0.228238134,0.032315022,0.00337141,MUT
TCGA.27.1831.01A.01R.1850.01,0.000963981,0.003210784,0.001674294,0.009839671,0,0.184338917,0,0,0,0.028041271,0,0.080777534,0.160191496,0,0.045980255,0.439072861,0,0,0.032659521,0,0.007349315,0.0059001,no alteration
TCGA.06.0238.01A.02R.1849.01,0.013254191,0,0.001970584,0.019316862,0,0.071845194,0,0.012139523,0,0,0,0.0333795,0.052056121,0,0.023024456,0.532925222,0,0,0,0.060859441,0.17200355,0.007225356,no alteration
TCGA.06.2570.01A.01R.1849.01,0.021131896,0,0,0,0,0.106809221,0,0.016647885,0.045538875,0,0.080680005,0.009793668,0.077251809,0.265009332,0.013952207,0.312101769,0,0,0,0.005774269,0,0.045309062,no alteration
TCGA.16.0846.01A.01R.1850.01,0.002830227,0,0,0.007275531,0,0.163607795,0,0,0,0.00813162,0,0.029997288,0.105942733,0,0.157206227,0.459396117,0.001755014,0,0,0.056438932,0.006103696,0.001314819,MUT
