SAMPLE,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,TYPE
TCGA.AX.A2IN.01A.12R.A180.07,0.126026679,0,0.110979518,0.123498179,0,0.100291268,0.00393024,0.079044311,0.013976207,0,0,0.056683263,0,0.130228695,0.065862852,0.134868539,0.046320127,0,0.00427791,0,0.004012211,0,MUT
TCGA.FI.A3PX.01A.11R.A22K.07,0.121266999,0,0.011243457,0.052639208,0,0.079140483,0,0.034094707,0,0,0,0.091473518,0.023785009,0.050658462,0.088080563,0.098467629,0,0.253732217,0.095417747,0,0,0,no alteration
TCGA.BS.A0V4.01A.11R.A14D.07,0,0.030811037,0.005696718,0.146684662,0,0.084272051,0.00291172,0.03673,0.039430559,0,0.018328788,0,0.008619917,0.348623278,0,0.046051692,0,0.126178726,0,0.091747905,0,0.013912946,MUT
TCGA.BG.A0VV.01A.21R.A118.07,0.172618761,0,0.050742629,0.081139111,0,0.218484537,0,0.060486003,0.052886804,0,0,0.062715979,0.003485237,0.141796682,0.02721898,0.064969892,0.032529843,0,0.02881604,0,0,0.002109503,no alteration
TCGA.AX.A2IO.01A.11R.A180.07,0.110665083,0,0.005379577,0.096232059,0,0.277950988,0,0.056825534,0.001716498,0,0,0.048024632,0,0.225813632,0.070064946,0.060014143,0.003457682,0.009405845,0.034449381,0,0,0,no alteration
TCGA.B5.A11R.01A.11R.A118.07,0.145312939,0,0.11918301,0.149337297,0,0.061845172,0.012152225,0.170883147,0.007392223,0.002343491,0,0.073232582,0,0.025391897,0.033018721,0.076843121,0.052215783,0.025871759,0.043516673,0,0.000512849,0.000947112,MUT
TCGA.EO.A3AY.01A.12R.A19W.07,0.02006014,0,0.004113594,0.367557002,0,0,0.072023986,0.033141628,0.005639902,0,0,0.126077432,0,0.110245646,0.051919359,0.097256929,0.00541871,0.005356756,0.092945544,0,0,0.008243371,MUT
TCGA.B5.A0JX.01A.21R.A14M.07,0.076151122,0,0.018237892,0.102062553,0,0.106934906,0.018740429,0.064524523,0.111068772,0,0,0.047654782,0.003600459,0.262167415,0.073268106,0.052786914,0.006497577,0.041615638,0.014688911,0,0,0,MUT
TCGA.AX.A2HG.01A.11R.A17B.07,0.022587147,0,0.005412647,0.356355627,0,0,0.183498476,0.03683925,0.012372274,0,0,0.078088557,0,0.071457969,0.045969128,0.092614378,0.005096956,0,0.089707592,0,0,0,MUT
TCGA.BS.A0T9.01A.11R.A12I.07,0.11802849,0,0.059747432,0.202879365,0,0,0,0.038612972,0.160699225,0,0.085276589,0.032839427,0.008905923,0.161848834,0.007698343,0.081251508,0,0.02612054,0.016091353,0,0,0,MUT
